Sticking chance: 0.25
Number Particles (N), Cluster Radius(R)
10,4.12311
100,13.0384
200,21.4009
300,23.8537
400,26.0768
500,28.3019
600,34.1321
700,39.2046
800,40.1995
900,44.0454
1000,52
1100,54
1200,56.0803
1300,60.0083
1400,61.0328
1500,65
1600,66.0076
1700,73.0068
1800,76.0263
1900,77.0584
2000,79.0569
2100,82.0549
2200,83.0963
2300,85.0941
2400,87.0919
2500,89.0505
2600,92.0489
2700,94.1329
2800,96.0833
2900,98.0816
3000,99.0808
3100,102.02
3200,105.005
3300,105.005
3400,105.043
3500,107.042
3600,108.227
3700,109.225
3800,110.368
3900,111.018
4000,111.018
4100,113.018
4200,114.018
4300,116.069
4400,117.038
4500,117.154
4600,118.068
4700,121.066
4800,123.102
4900,126.099
5000,127.098
