Sticking chance: 0.0005
Number Particles (N), Cluster Radius(R)
10,2.82843
100,13
200,19.2354
300,21.8403
400,27.7849
500,31.0644
600,34.6699
700,37.2022
800,39.8121
900,42.5441
1000,48.2597
1100,49.8197
1200,53.1507
1300,55.1453
1400,57.2451
1500,61.327
1600,63.1269
1700,65.2763
1800,68.3593
1900,69.3542
2000,72.1734
2100,73.5527
2200,73.8241
2300,78.4092
2400,80.7527
2500,82.6075
2600,84.5931
2700,85.4751
2800,88.278
2900,88.278
3000,90.2718
3100,91.2688
3200,93.6483
3300,94.7629
3400,95.8801
3500,98.7623
3600,102.591
3700,103.586
3800,105.076
3900,107.201
4000,107.201
4100,108.908
4200,111.611
4300,113.565
4400,115.732
4500,116.499
4600,118.457
4700,120.221
4800,121.396
4900,123.167
5000,124.149
