Sticking chance: 0.0005
Number Particles (N), Cluster Radius(R)
10,3.60555
100,15.0333
200,22
300,26.0768
400,28.0713
500,32.0156
600,34.0147
700,35.0143
800,36.7696
900,41.7852
1000,42.2966
1100,47.3814
1200,50.3587
1300,51.4782
1400,54.5894
1500,58.5491
1600,59.6825
1700,61.4003
1800,62.6498
1900,65.146
2000,67.4685
2100,71.1688
2200,71.1688
2300,72.8011
2400,74.3303
2500,75.2861
2600,76.9415
2700,78.2624
2800,81.3941
2900,82.5651
3000,83.7437
3100,85.1469
3200,88.459
3300,88.459
3400,88.459
3500,88.6454
3600,89.822
3700,90.0888
3800,92.1954
3900,93.3916
4000,95.4254
4100,96.6282
4200,99.4636
4300,101.316
4400,104.077
4500,105.076
4600,105.537
4700,109.073
4800,110.018
4900,111.113
5000,111.162
