Sticking chance: 1
Number Particles (N), Cluster Radius(R)
10,5.09902
100,23.7697
200,43.1741
300,56.0892
400,68.6586
500,88.6397
600,108.259
700,114.543
800,127.389
900,135.768
1000,142.352
1100,144.18
1200,150.615
1300,161.245
1400,165.315
1500,168.656
1600,180.361
1700,190.421
1800,200.569
1900,205.08
2000,208.139
2100,214.462
2200,223.58
2300,226.927
2400,230.586
2500,230.586
2600,232.312
2700,233.497
2800,242.012
2900,248.676
3000,255.362
3100,257.158
3200,261.63
3300,267.944
3400,273.265
3500,274.492
3600,274.492
3700,276.391
3800,277.737
3900,279.517
4000,283.989
4100,285.773
4200,287.117
4300,289.348
4400,291.294
4500,292.77
4600,297.846
4700,298.292
4800,302.333
4900,306.79
5000,312.16
