Sticking chance: 1
Number Particles (N), Cluster Radius(R)
10,4.47214
100,21.0238
200,41.0366
300,54.1202
400,72.0625
500,84.214
600,102.24
700,120.416
800,137.615
900,150.851
1000,159.248
1100,165.221
1200,172.54
1300,177.553
1400,182.617
1500,190.961
1600,209.39
1700,209.881
1800,211.092
1900,213.528
2000,225.002
2100,233.206
2200,239.635
2300,247.645
2400,259.307
2500,270.113
2600,277.838
2700,278.173
2800,282.347
2900,283.868
3000,290.691
3100,290.691
3200,290.691
3300,290.801
3400,292.606
3500,299.189
3600,299.189
3700,300.222
3800,302.848
3900,306.602
4000,311.888
4100,313.818
4200,319.856
4300,321.123
4400,322.531
4500,329.196
4600,332.133
4700,334.834
4800,339.299
4900,343.908
5000,343.908
