Sticking chance: 0.1
Number Particles (N), Cluster Radius(R)
10,3.16228
100,12
200,17.0294
300,23.7697
400,27.2029
500,29.4279
600,31.257
700,35.5106
800,37.3363
900,37.3363
1000,40.1995
1100,41.7852
1200,43.1741
1300,45.1221
1400,48.0937
1500,49.0918
1600,50.1597
1700,52.1536
1800,52.469
1900,54.3323
2000,56.4358
2100,58.3095
2200,59.4138
2300,62.2013
2400,62.9682
2500,62.9682
2600,63.6946
2700,65
2800,66.3099
2900,67.7791
3000,67.7791
3100,68.942
3200,70.214
3300,70.406
3400,71.1688
3500,71.1688
3600,72.111
3700,74.2496
3800,75.1532
3900,75.5844
4000,76.9415
4100,78.3901
4200,80.1311
4300,80.1311
4400,81.0494
4500,82.0366
4600,82.201
4700,85.3288
4800,86.4928
4900,87.4757
5000,88.0738
