Sticking chance: 0.1
Number Particles (N), Cluster Radius(R)
10,2.23607
100,10.2956
200,15.2643
300,18.6011
400,22.561
500,23.7697
600,27.6586
700,29.1548
800,31.5753
900,33.3766
1000,36.3456
1100,38.3275
1200,38.3275
1300,40.4475
1400,42.4264
1500,43.4166
1600,47.1699
1700,49.0918
1800,49.0918
1900,50.448
2000,53.1507
2100,54.9181
2200,54.9181
2300,56.0892
2400,56.5685
2500,59.0339
2600,61
2700,62.1691
2800,63.1506
2900,64.7765
3000,66.7533
3100,68.7314
3200,68.7314
3300,69.7209
3400,69.7209
3500,71.5681
3600,72.6911
3700,74.3303
3800,75.9539
3900,76.9415
4000,77.8781
4100,78.8543
4200,78.8543
4300,81.0494
4400,81.2158
4500,82.201
4600,85
4700,85.9884
4800,85.9884
4900,86.8332
5000,88.459
