Sticking chance: 0.25
Number Particles (N), Cluster Radius(R)
10,2.82843
100,13.9284
200,21.587
300,22.8035
400,25.318
500,31.4006
600,35.1141
700,37
800,38.8973
900,40.1622
1000,41.7732
1100,46.6905
1200,52.1728
1300,55.5428
1400,60.4152
1500,61.8466
1600,63.561
1700,67.4685
1800,72.3671
1900,72.7805
2000,73.9797
2100,78.2624
2200,82.7647
2300,83.5464
2400,86.5852
2500,88.295
2600,89.4986
2700,92.1792
2800,94.921
2900,95.8801
3000,98.7623
3100,100.424
3200,101.651
3300,101.651
3400,102.616
3500,102.883
3600,102.883
3700,104.048
3800,105.019
3900,107.448
4000,107.703
4100,108.416
4200,109.202
4300,110.354
4400,111.324
4500,113.442
4600,113.442
4700,114.438
4800,116.43
4900,116.927
5000,118.423
