Sticking chance: 0.25
Number Particles (N), Cluster Radius(R)
10,3.60555
100,12.53
200,18.6011
300,20.6155
400,24.5967
500,29.7321
600,34.176
700,36.7696
800,37.6962
900,40.2492
1000,44.0114
1100,45.8803
1200,48.0833
1300,49.0408
1400,51.2445
1500,54.8179
1600,56.921
1700,57.0088
1800,58.1893
1900,59.4643
2000,60.407
2100,61.6847
2200,63.6003
2300,65.146
2400,67.0671
2500,68.9493
2600,69.8928
2700,70.8378
2800,70.8378
2900,75.06
3000,75.1066
3100,76.0263
3200,77.0065
3300,77.4919
3400,82.0549
3500,84.0536
3600,87.0919
3700,89.1403
3800,91.2688
3900,95.2575
4000,96.1873
4100,99.1262
4200,102.176
4300,106.17
4400,108.227
4500,110.223
4600,111.288
4700,113.358
4800,114.355
4900,117.346
5000,121.499
