Sticking chance: 0.5
Number Particles (N), Cluster Radius(R)
10,3
100,12.0416
200,18.0278
300,21.0238
400,25.0799
500,27.0185
600,34.1321
700,36.2353
800,38.0132
900,41.1461
1000,44.3847
