Num,Rad,Std dev,ln(N),ln(rad),ln(dev)
10,3.44152,0.161219289168511,2.30258509299405,1.23591323425883,-1.82498979621399
100,10.9573633333333,0.658687806934138,4.60517018598809,2.39401168080168,-0.417505594309705
200,16.4722,0.471393269409359,5.29831736654804,2.80167411146819,-0.752062566457813
300,21.5149333333333,0.429671399422258,5.7037824746562,3.06874726767239,-0.844734549824654
400,25.9178333333333,0.614604859811329,5.99146454710798,3.25493127745521,-0.48677572204183
500,28.9013666666667,0.344010743264628,6.21460809842219,3.36388888350431,-1.06708239167597
600,31.6908,0.413884981338751,6.39692965521615,3.45602641794083,-0.88216716661
700,33.5787333333333,0.149572209738059,6.5510803350434,3.51389293007235,-1.89997599448102
800,37.3721333333333,0.330954918603952,6.68461172766793,3.62092532865776,-1.10577311045195
900,39.0688,0.520938897035386,6.80239476332431,3.6653241944924,-0.652122524269033
1000,41.0768666666667,0.709962323204809,6.90775527898214,3.71544510821432,-0.34254337626354
