Sticking chance: 1
Number Particles (N), Cluster Radius(R), Radius of Gyration
10,6,3.71484
100,29.6142,16.0069
200,45.1221,22.9242
300,54.4885,30.3158
400,63.6396,36.0332
500,75.6637,41.4089
600,85.5628,46.4571
700,94.4934,51.863
800,107.935,55.4778
900,118.461,59.9373
1000,126.036,64.4835
