Sticking chance: 0.25
Number Particles (N), Cluster Radius(R)
10,2.23607
100,12.3693
200,21.1896
300,27.8927
400,31.5753
500,35.5106
600,39.8121
700,43.7379
800,49.8197
900,51.788
1000,54.5711
