Sticking chance: 0.0005
Number Particles (N), Cluster Radius(R)
10,3.16228
100,11.4018
200,17.1172
300,21.1896
400,26.0768
500,31.0483
600,32.9848
700,36.1386
800,40.3113
900,42.19
1000,43.2897
1100,44.1475
1200,48.0416
1300,51.0392
1400,53.7587
1500,55.8659
1600,58.1378
1700,59.8164
1800,62.8013
1900,66.2193
2000,67.8012
2100,68.6003
2200,71.6101
2300,74.2024
2400,76.0592
2500,77.8974
2600,80.604
2700,81.4002
2800,82.201
2900,85.6037
3000,86.4002
3100,87.8009
3200,89.4036
3300,91.022
3400,92.6553
3500,95.2103
3600,97.4166
3700,98.4733
3800,98.813
3900,100.404
4000,101.789
4100,104.101
4200,104.957
4300,106.85
4400,109.932
4500,111.83
4600,114.909
4700,115.974
4800,117.337
4900,118.701
5000,118.849
