Sticking chance: 0.75
Number Particles (N), Cluster Radius(R)
10,3.60555
100,14.3178
200,22.561
300,28.4429
400,34.0588
500,39.1152
600,42.107
700,46.0977
800,48.0104
900,53.7587
1000,59.1354
1100,61.4003
1200,66.7608
1300,68.7095
1400,73.0068
1500,80.2247
1600,87.5728
1700,89.6772
1800,91.1373
1900,95.6347
2000,98.4124
2100,100.319
2200,102.176
2300,103.121
2400,104.235
2500,106.174
2600,107.168
2700,108.227
2800,109.275
2900,110
3000,112.018
3100,113.323
3200,116.09
3300,117.341
3400,119.105
3500,120.104
3600,122.066
3700,124.523
3800,127.35
3900,128.035
4000,132.276
4100,135.104
4200,137.208
4300,138.658
4400,141.485
4500,142.899
4600,142.899
4700,144.312
4800,146.373
4900,146.986
5000,148.192
