Sticking chance: 0.75
Number Particles (N), Cluster Radius(R)
10,4.24264
100,18.0278
200,26.8328
300,32.2025
400,38.4708
500,42.5441
600,45.31
700,49.93
800,50.8035
900,55.6058
1000,59.4054
1100,62.0081
1200,64.8999
1300,66.0303
1400,71.1196
1500,76.1577
1600,77.026
1700,80.7094
1800,81.5414
1900,85.1469
2000,88.4816
2100,92.1303
2200,93.4773
2300,96.933
2400,97.9081
2500,100.439
2600,104.862
2700,108.6
2800,108.6
2900,110
3000,110.603
3100,112.33
3200,114.547
3300,117.034
3400,117.801
3500,120.739
3600,126.372
3700,126.372
3800,128.406
3900,131.822
4000,133.686
4100,136.242
4200,137.844
4300,141.209
4400,143.224
4500,146.82
4600,151.4
4700,154.616
4800,157.41
4900,162.41
5000,167.048
