Num,Rad,Err,lnN,lnR,lnErr
10,5.019763333,1.110996281,2.302585093,1.613382788,0.105257163
100,17.35623333,1.596096109,4.605170186,2.853951712,0.467560716
200,26.60253333,2.269829951,5.298317367,3.281006449,0.819704917
300,32.25673333,2.217739303,5.703782475,3.473726807,0.796488345
400,38.1924,2.310365143,5.991464547,3.642636543,0.837405583
500,43.02763333,2.410582986,6.214608098,3.761842545,0.879868621
600,46.16513333,2.62487741,6.396929655,3.832224823,0.965034194
700,50.49946667,2.720692403,6.551080335,3.921962775,1.000886408
800,52.9185,3.602929461,6.684611728,3.968752994,1.281747254
900,58.82793333,4.179833151,6.802394763,4.074616799,1.43027133
1000,62.66766667,3.39816065,6.907755279,4.137845631,1.2232343
1100,64.86843333,3.169094138,7.003065459,4.172361116,1.153445786
1200,68.24076667,2.4695521,7.090076836,4.223042138,0.904036798
1300,71.09636667,3.805880959,7.170119543,4.264036234,1.336547491
1400,74.6838,2.676628105,7.244227516,4.313263201,0.984557833
1500,79.33856667,1.641592017,7.313220387,4.373724349,0.495666513
1600,83.229,3.18335337,7.377758908,4.421595845,1.15793516
1700,85.5956,2.619853372,7.43838353,4.44963388,0.963118352
1800,88.1555,3.312377126,7.495541944,4.479102301,1.197666097
1900,91.47663333,3.216394943,7.549609165,4.516083566,1.16826115
2000,95.10213333,3.310266667,7.60090246,4.554951402,1.19702875
2100,97.40466667,2.642033303,7.649692624,4.578874122,0.971548811
2200,99.37576667,2.950487686,7.696212639,4.598908288,1.081970474
2300,102.2013333,2.814013287,7.740664402,4.626944724,1.03461168
2400,103.4813667,3.02374299,7.783224016,4.639391564,1.106495465
2500,105.424,2.687872455,7.824046011,4.657990314,0.988749972
2600,109.3346667,3.385752961,7.863266724,4.694413515,1.219576322
2700,111.2243333,2.81289497,7.901007052,4.711549183,1.034214191
2800,112.4816667,3.549519138,7.937374696,4.722790245,1.26681214
2900,114.0996667,4.099666667,7.972466016,4.737072335,1.41090567
3000,115.0876667,3.799189402,8.006367568,4.745694157,1.334787729
3100,117.4773333,4.659658941,8.03915739,4.766245407,1.538942257
3200,120.5546667,5.255078063,8.070906089,4.792103315,1.659194859
3300,122.7793333,5.592535571,8.101677747,4.810388706,1.721432775
3400,125.034,6.591757151,8.131530711,4.8285857,1.885819952
3500,126.654,6.235195132,8.160518247,4.841458959,1.830209875
3600,129.6363333,5.558114498,8.188689124,4.864733094,1.715258932
3700,130.7403333,5.319679011,8.216088099,4.873213168,1.671412965
3800,132.978,5.109102465,8.242756346,4.890183701,1.631023746
3900,134.797,4.989730086,8.268731832,4.903769943,1.607381817
4000,137.594,4.630922586,8.29404964,4.92430732,1.532756111
4100,139.693,4.033400592,8.318742253,4.939447158,1.394609839
4200,142.2506667,4.728232557,8.342839804,4.95759076,1.553551466
4300,143.8556667,3.990700621,8.366370302,4.968810482,1.38396681
4400,145.5016667,3.186952794,8.38935982,4.980187541,1.159065223
4500,147.5816667,2.948114331,8.411832676,4.994381695,1.081165756
4600,149.2736667,3.245663894,8.433811582,5.00578131,1.177319919
4700,151.235,3.461812001,8.455317788,5.018834918,1.241792152
4800,153.0146667,3.378281236,8.476371197,5.030533777,1.21736707
4900,155.7713333,4.580068316,8.496990484,5.04838912,1.521713914
5000,158.0213333,5.458033508,8.517193191,5.062730045,1.697088562
