Sticking chance: 0.75
Number Particles (N), Cluster Radius(R)
10,7.2111
100,19.7231
200,30.4138
300,36.1248
400,42.0476
500,47.4236
600,51.0784
700,55.4707
800,59.9416
900,67.1193
1000,69.4622
1100,71.1969
1200,73.0616
1300,78.5493
1400,79.925
1500,81.6333
1600,85.0882
1700,86.4002
1800,91.7878
1900,93.6483
2000,98.4124
2100,99.7647
2200,102.474
2300,106.55
2400,108.301
2500,109.659
2600,115.974
2700,116.846
2800,119.57
2900,122.299
3000,122.642
3100,126.779
3200,131.027
3300,133.963
3400,138.196
3500,139.119
3600,140.471
3700,141.326
3800,143.178
3900,144.534
4000,146.82
4100,147.733
4200,151.7
4300,151.7
4400,151.796
4500,153.026
4600,153.522
4700,154.777
4800,155.261
4900,157.918
5000,158.824
