Sticking chance: 0.75
Number Particles (N), Cluster Radius(R)
10,2.23607
100,16.5529
200,25
300,27.8927
400,30.8058
500,35.0571
600,39.0128
700,42.19
800,48.1664
900,50.0899
1000,53.0848
