Num,Rad,Std dev,ln(N),ln(rad),ln(dev)
10,2.74535666666667,0.147018397047344,2.30258509299405,1.00991099973281,-1.91719755005208
100,14.6395,0.579905996213563,4.60517018598809,2.68372335494447,-0.544889264071182
200,20.8208666666667,1.21282582120954,5.29831736654804,3.03595568896151,0.192953026254477
300,25.4611,0.752631094524033,5.7037824746562,3.23715179722344,-0.284180085540182
400,28.8103333333333,0.662186903234136,5.99146454710798,3.3607341190862,-0.412207431723683
500,33.7832666666667,0.627002846292789,6.21460809842219,3.51996561086831,-0.466804198817592
600,38.5032333333333,0.763782331072969,6.39692965521615,3.65074222045137,-0.269472437381872
700,42.6435666666667,0.899859974498091,6.5510803350434,3.75287642238822,-0.105516111653266
800,46.0938333333333,0.884185359107048,6.68461172766793,3.83067917388216,-0.123088556076952
900,49.8442333333333,0.303372175779251,6.80239476332431,3.9089028093419,-1.1927949243178
1000,52.1741,0.446514704249603,6.90775527898214,3.95458620317386,-0.806282946957887
