Sticking chance: 0.1
Number Particles (N), Cluster Radius(R)
10,5
100,14.0357
200,19.0263
300,22.2036
400,28.0179
500,31.0161
600,34.7131
700,36.6742
800,41
900,42.45
1000,44.1022
1100,48.0416
1200,51.0098
1300,52.2398
1400,53.2353
1500,56.5685
1600,57.4282
1700,58.4209
1800,59.4138
1900,60.6712
2000,61.6604
2100,62.9682
2200,64.6297
2300,65.6201
2400,65.7343
2500,66.6108
2600,67.6018
2700,67.6018
2800,68.593
2900,69.857
3000,70.214
3100,70.5195
3200,71.4703
3300,72.4224
3400,74.6324
3500,74.9466
3600,75.8947
3700,76.844
3800,77.4919
3900,78.1089
4000,78.924
4100,81.5414
4200,81.5414
4300,84.5813
4400,85
4500,85.8662
4600,86.7698
4700,87.7268
4800,89.4707
4900,89.9444
5000,91.5478
