Sticking chance: 0.5
Number Particles (N), Cluster Radius(R)
10,3.60555
100,14.3178
200,20.025
300,28.0179
400,29.2746
500,33.2415
600,35.3553
700,40.1995
800,42.2966
900,47.2652
1000,49.6488
1100,52.8867
1200,53.6004
1300,54.8179
1400,56.7539
1500,59.6657
1600,61.131
1700,62.3618
1800,62.9365
1900,65.8027
2000,67.1863
2100,68.6586
2200,70.406
2300,72.5672
2400,73.7564
2500,74.5252
2600,77.4661
2700,79.177
2800,80.9506
2900,83.006
3000,83.0542
3100,86.0233
3200,88.0511
3300,89.0056
3400,90.2109
3500,93.0215
3600,96.0469
3700,97.0206
3800,99.0051
3900,101.045
4000,102.078
4100,103.175
4200,106.118
4300,107.168
4400,108.167
4500,109.293
4600,110.454
4700,111.45
4800,111.45
4900,112.539
5000,113.442
