Sticking chance: 0.5
Number Particles (N), Cluster Radius(R)
10,4.24264
100,16.4012
200,26.8701
300,33.9411
400,41.8808
500,44.6542
600,48.9183
700,54.5619
800,59.5483
900,63.7809
1000,67.4759
1100,72.2496
1200,76.4853
1300,81.5659
1400,82.9759
1500,87.3212
1600,91.5478
1700,95.2103
1800,97.6524
1900,99.6243
2000,105.119
2100,108.453
2200,108.757
2300,110.386
2400,112.898
2500,115.663
2600,117.414
2700,120.208
2800,121.495
2900,125.1
3000,127.201
3100,131.034
3200,135.473
3300,138.773
3400,140.186
3500,143.178
3600,145.248
3700,146
3800,146.755
3900,149.576
4000,149.683
4100,153.154
4200,154.564
4300,156.464
4400,157.493
4500,158.619
4600,162.856
4700,163.6
4800,167.093
4900,169.248
5000,170.66
