Num,Rad,Err,lnN,lnR,lnErr
10,4.315736667,0.432674051,2.302585093,1.462268032,-0.837770604
100,17.29916667,0.450160499,4.605170186,2.850658331,-0.798151096
200,26.5227,0.522704595,5.298317367,3.27800097,-0.648738803
300,31.25213333,1.348298199,5.703782475,3.442087641,0.298843204
400,40.04136667,1.005281875,5.991464547,3.689913086,0.005267975
500,44.2172,0.86777261,6.214608098,3.789113854,-0.141825568
600,48.48553333,1.552149892,6.396929655,3.881265472,0.439640997
700,52.37193333,2.501484579,6.551080335,3.958370824,0.916884387
800,58.2766,3.122919773,6.684611728,4.065200641,1.138768389
900,63.062,4.331068035,6.802394763,4.144118369,1.465814171
1000,64.52013333,4.698484505,6.907755279,4.16697732,1.547240011
1100,67.76336667,4.534719431,7.003065459,4.216021734,1.511763214
1200,72.2529,4.66468246,7.090076836,4.280172465,1.540019763
1300,75.3432,5.848039739,7.170119543,4.322053675,1.766106518
1400,78.1069,5.321747301,7.244227516,4.358078401,1.671801689
1500,80.7525,5.945544438,7.313220387,4.391388921,1.782642105
1600,84.60876667,5.803168784,7.377758908,4.438037886,1.758404111
1700,88.69436667,5.626073843,7.43838353,4.485196377,1.727411835
1800,91.26393333,5.027667279,7.495541944,4.513755675,1.614956115
1900,93.72683333,4.930177339,7.549609165,4.540384523,1.595374959
2000,96.45303333,5.880140225,7.60090246,4.569056189,1.771580609
2100,99.73863333,6.590998574,7.649692624,4.602553098,1.885704866
2200,102.7784333,6.769408851,7.696212639,4.632575539,1.912413764
2300,106.0903333,8.068888324,7.740664402,4.664290932,2.088015719
2400,107.9071667,8.565459184,7.783224016,4.68127129,2.147737742
2500,110.5043667,8.358582163,7.824046011,4.705055038,2.123288815
2600,112.0646,8.762689083,7.863266724,4.719075491,2.170502831
2700,115.2685333,7.942154491,7.901007052,4.747264479,2.072184585
2800,118.133,9.272319361,7.937374696,4.771811108,2.227033549
2900,120.9743333,9.153509461,7.972466016,4.795578402,2.214137353
3000,123.9026667,9.613651272,8.006367568,4.819496311,2.263184096
3100,126.8823333,9.878200044,8.03915739,4.843260148,2.290330313
3200,129.9486667,11.15789099,8.070906089,4.867139501,2.41214696
3300,133.0033333,11.87643129,8.101677747,4.890374191,2.474555872
3400,134.8686667,12.32559994,8.131530711,4.904301465,2.511678395
3500,137.0286667,12.42029756,8.160518247,4.92019015,2.519332034
3600,139.6213333,12.1424217,8.188689124,4.938933996,2.496705247
3700,141.761,12.43250555,8.216088099,4.954142541,2.520314458
3800,143.8566667,12.10374645,8.242756346,4.968817433,2.493515029
3900,146.2873333,12.26910724,8.268731832,4.985572724,2.507084496
4000,148.159,12.50266848,8.29404964,4.998286021,2.5259421
4100,149.7433333,12.68293222,8.318742253,5.008922717,2.54025717
4200,150.6803333,13.11672777,8.342839804,5.015160595,2.573888345
4300,153.9183333,13.773605,8.366370302,5.036422159,2.62275408
4400,154.897,13.81935011,8.38935982,5.04276038,2.626069792
4500,157.203,14.08148516,8.411832676,5.057537964,2.644860825
4600,160.166,13.79971037,8.433811582,5.076210777,2.624647604
4700,161.5463333,13.60912292,8.455317788,5.084791995,2.610740371
4800,164.191,12.61683356,8.476371197,5.101030384,2.535031919
4900,166.2823333,13.14787867,8.496990484,5.113687147,2.576260428
5000,167.5716667,13.2558536,8.517193191,5.12141112,2.584439236
