Sticking chance: 0.5
Number Particles (N), Cluster Radius(R)
10,5.09902
100,17.6918
200,27.2029
300,29.7321
400,39.8246
500,42.5441
600,45.607
700,47.3814
800,52.345
900,55.2268
1000,55.3173
1100,58.6941
1200,62.9365
1300,63.6553
1400,67.4759
1500,68.884
1600,73.0821
1700,77.4919
1800,81.3449
1900,83.9345
2000,85.235
2100,86.8159
2200,89.2693
2300,90.471
2400,91.2195
2500,94.1541
2600,94.9368
2700,99.7246
2800,100.658
2900,103.465
3000,105.849
3100,108.079
3200,108.462
3300,110.164
3400,111.364
3500,113.111
3600,116.349
3700,118.423
3800,121.594
3900,123.584
4000,125.782
4100,126.27
4200,126.27
4300,128.891
4400,129.769
4500,132.136
4600,135.033
4700,137.015
4800,141.032
4900,142.172
5000,143.224
