Sticking chance: 0.01
Number Particles (N), Cluster Radius(R)
10,3
100,10.4403
200,18.1108
300,22.2036
400,26.1725
500,30.0167
600,32.7567
700,35.0143
800,38.0132
900,39.1152
1000,40.6079
