Sticking chance: 0.01
Number Particles (N), Cluster Radius(R)
10,4.12311
100,13.4164
200,19.3132
300,24.3516
400,27.2029
500,29.5466
600,32.0624
700,37.1214
800,40.0125
900,43.3244
1000,46.0977
