Number Particles (N), Cluster Radius(R)
10,2.23607
100,12.083
200,18.6815
300,26.2488
400,29.8329
500,33.6006
600,37.6962
700,40.8534
800,43.8292
900,45.1774
1000,47.7074
1100,50.2494
1200,52.4786
1300,55.5698
1400,56.9386
1500,60.8769
1600,62.8172
1700,64.7611
1800,66.7083
1900,69.6348
2000,70.6116
2100,72.111
2200,75.71
2300,78.0897
2400,80.4114
2500,82.0366
2600,84.1487
2700,88.0909
2800,91.1373
2900,97.1288
3000,101.178
3100,102.122
3200,104.173
3300,107.229
3400,107.229
3500,108.019
3600,109.371
3700,111.364
3800,114.355
3900,116.349
4000,120.337
4100,122.409
4200,125.399
4300,127.393
4400,128.39
4500,130.246
4600,132.185
4700,134.183
4800,137.179
4900,138.177
5000,140.175
