Number Particles (N), Cluster Radius(R)
10,5
100,15.5242
200,22.2036
300,25.1794
400,30.0666
500,34.2345
600,37.054
700,42.0476
800,45.0111
900,48.0937
1000,52.0865
1100,54.1479
1200,58.0345
1300,60.0333
1400,63.1269
1500,63.2851
1600,66.2722
1700,69.4622
1800,72.1803
1900,77.1038
2000,78.0897
2100,81.0247
2200,83.4326
2300,85.3756
2400,87.5557
2500,89.7385
2600,90.2497
2700,90.956
2800,91.9837
2900,92.9624
3000,92.9624
3100,95.2103
3200,95.2103
3300,95.8801
3400,96.7988
3500,99.0202
3600,102.46
3700,105.622
3800,106.892
3900,107.224
4000,107.912
4100,109.731
4200,110.368
4300,112.272
4400,112.579
4500,114.843
4600,117.047
4700,119.871
4800,120.814
4900,123.329
5000,124.278
