Number Particles (N), Cluster Radius(R)
10,4.12311
100,14.5602
200,20.2485
300,25
400,28.6007
500,32.45
600,34.6699
700,37.7359
800,42.9418
900,44.7214
1000,47.4236
1100,50.6952
1200,53.8516
1300,57.5847
1400,60.9262
1500,63.0714
1600,67.5426
1700,69.3542
1800,73.5391
1900,73.5391
2000,75.6637
2100,79.8499
2200,80.7775
2300,87.3155
2400,91.0824
2500,92.6553
2600,93.9202
2700,94.578
2800,96.4624
2900,98.3514
3000,100.901
3100,105.622
3200,106.283
3300,107.838
3400,112.947
3500,114.586
3600,115.317
3700,118.309
3800,118.701
3900,121.462
4000,122.931
4100,126.463
4200,127.236
4300,128.035
4400,128.86
4500,130.74
4600,132.401
4700,133.701
4800,134.629
4900,134.833
5000,135.004
