Number Particles (N), Cluster Radius(R)
10,3.16228
100,14.7648
200,19.2354
300,26.0768
400,32.0624
500,37
600,41.0488
700,45
800,49.0408
900,50.04
1000,53.0094
1100,59.1354
1200,63.1269
1300,67.1193
1400,69.2604
1500,70.1783
1600,72.1734
1700,77.2334
1800,79.404
1900,81.3941
2000,83.4865
2100,86.4696
2200,87.8237
2300,89.0898
2400,91.0824
2500,94.2019
2600,98.3107
2700,102.772
2800,103.755
2900,104.738
3000,106.705
3100,107.517
3200,110.644
3300,111.629
3400,114.586
3500,114.586
3600,115.732
3700,118.828
3800,119.821
3900,120.075
4000,122.25
4100,126.696
4200,128.655
4300,131.027
4400,134.733
4500,136.693
4600,138.654
4700,141.792
4800,142.773
4900,144.931
5000,146.113
