Num,Rad,Err,lnN,lnR,lnErr
10,2.490713333,0.254643333,2.302585093,0.912569149,-1.367891406
100,9.958093333,0.291254249,4.605170186,2.298385621,-1.233558686
200,13.5398,0.0617,5.298317367,2.605633496,-2.785471348
300,17.08556667,0.204329247,5.703782475,2.838234053,-1.588022631
400,19.0239,0.213655704,5.991464547,2.945696083,-1.543389418
500,21.56176667,0.937148939,6.214608098,3.070921685,-0.064913056
600,22.83253333,0.818822851,6.396929655,3.128186419,-0.199887518
700,23.9939,0.901906183,6.551080335,3.177799631,-0.103244774
800,25.68796667,0.751386213,6.684611728,3.246022659,-0.285835494
900,28.0622,0.506633901,6.802394763,3.334423475,-0.679966624
1000,28.83616667,0.858823471,6.907755279,3.361630386,-0.152191883
1100,30.92386667,0.597198823,7.003065459,3.43152827,-0.515505184
1200,32.12086667,0.539354442,7.090076836,3.469505871,-0.617382332
1300,33.5448,0.93453013,7.170119543,3.512881859,-0.067711411
1400,35.46463333,0.79376552,7.244227516,3.568535956,-0.230967176
1500,36.50503333,0.597666934,7.313220387,3.597450151,-0.514721646
1600,37.87693333,1.58179021,7.377758908,3.634342308,0.45855725
1700,38.76563333,1.616364011,7.43838353,3.657534115,0.480179189
1800,39.7262,1.892327858,7.495541944,3.68201092,0.637807742
1900,39.83106667,1.800873862,7.549609165,3.684647177,0.588272026
2000,40.53703333,1.241679106,7.60090246,3.70221596,0.216464581
2100,41.54103333,1.634805167,7.649692624,3.726681694,0.491523633
2200,42.31253333,1.823347461,7.696212639,3.745083338,0.600674076
2300,44.04933333,2.414263403,7.740664402,3.785310218,0.881394232
2400,44.74406667,2.156349744,7.783224016,3.800958847,0.768416859
2500,45.41403333,2.298334136,7.824046011,3.815821162,0.832184572
2600,47.15753333,1.979106918,7.863266724,3.85349377,0.682645692
2700,48.4102,1.748910796,7.901007052,3.879710535,0.558993192
2800,49.69793333,2.173329126,7.937374696,3.905963349,0.776260151
2900,50.02156667,1.937594127,7.972466016,3.912454246,0.661447063
3000,50.6818,2.044025074,8.006367568,3.925566872,0.714920939
3100,52.00986667,2.156970053,8.03915739,3.951433444,0.768704483
3200,52.78763333,2.287087272,8.070906089,3.966276946,0.827279074
3300,53.05443333,2.538604446,8.101677747,3.971318431,0.931614499
3400,53.38753333,2.493396768,8.131530711,3.977577261,0.913645945
3500,54.35553333,2.251798816,8.160518247,3.995546418,0.811729371
3600,54.66503333,1.966666657,8.188689124,4.001224261,0.676340058
3700,55.29606667,1.734031438,8.216088099,4.012701779,0.550449008
3800,56.0985,1.90973991,8.242756346,4.027109074,0.64696706
3900,56.6199,1.981819872,8.268731832,4.036360514,0.68401555
4000,57.03016667,2.186307234,8.29404964,4.043580368,0.782213926
4100,57.9687,2.231807766,8.318742253,4.05990321,0.802811914
4200,58.30636667,2.520338245,8.342839804,4.065711293,0.924393117
4300,59.0935,2.116588674,8.366370302,4.079120935,0.749805676
4400,59.42263333,2.410111395,8.38935982,4.084675186,0.879672969
4500,60.13656667,2.072525292,8.411832676,4.096618087,0.728767811
4600,60.5915,2.12214804,8.433811582,4.104154619,0.752428802
4700,61.5791,1.635014402,8.455317788,4.120322527,0.491651613
4800,61.80486667,1.847421575,8.476371197,4.12398211,0.613790923
4900,63.1269,1.223694533,8.496990484,4.145146986,0.201874588
5000,63.57476667,1.059490049,8.517193191,4.152216641,0.057787707
