Sticking chance: 0.01
Number Particles (N), Cluster Radius(R)
10,2.23607
100,9.43398
200,13.6015
300,17.0294
400,19.4165
500,21.4009
600,23.4307
700,24.6982
800,25.807
900,29.0689
1000,30.4138
1100,31.8904
1200,32.5576
1300,33.9411
1400,35.3836
1500,36.7967
1600,37.4833
1700,38.2884
1800,39.8246
1900,39.8246
2000,39.8246
2100,40.6079
2200,41.7732
2300,42.2019
2400,43.0116
2500,43.0465
2600,46.0977
2700,48
2800,49.0102
2900,49.0408
3000,49.0408
3100,52.0384
3200,52.0384
3300,52.0384
3400,53.0377
3500,55.0364
3600,55.0364
3700,55.0364
3800,57.0088
3900,57.0088
4000,57.0088
4100,58.0086
4200,58.0345
4300,59.0085
4400,59.0085
4500,60.0083
4600,60.075
4700,61.0737
4800,61.0737
4900,63
5000,63.0317
