Sticking chance: 0.05
Number Particles (N), Cluster Radius(R)
10,3.16228
100,10.8167
200,15.6205
300,19.105
400,22.6716
500,24.6982
600,26.2488
700,27.5862
800,29.6985
900,30.3645
1000,33.2415
1100,34.7131
1200,34.8281
1300,35.609
1400,37.2022
1500,38.0789
1600,38.9102
1700,39.8121
1800,41.6173
1900,45.2769
2000,45.2769
2100,46.7547
2200,48.9183
2300,50.3289
2400,52.4976
2500,53.2635
2600,54.4885
2700,55.3173
2800,55.8659
2900,56.0446
3000,57.5674
3100,58.5235
3200,58.5235
3300,59.6657
3400,61.2209
3500,61.2209
3600,62.9365
3700,63.6553
3800,65.521
3900,65.7951
4000,66.5282
4100,67.2681
4200,68.6804
4300,69.4262
4400,70.1783
4500,70.8378
4600,73.1095
4700,73.1095
4800,73.6614
4900,74.3303
5000,75.0067
