Sticking chance: 0.05
Number Particles (N), Cluster Radius(R)
10,3.16228
100,12.0416
200,15.6525
300,18.6011
400,23.3452
500,24.0832
600,26.2488
700,29.5466
800,30.8707
900,32.311
1000,35.8469
1100,38.6264
1200,39.9249
1300,40.3113
1400,41.7852
1500,44.9444
1600,46.2385
1700,47.5395
1800,47.927
1900,51.0784
2000,52.9245
2100,53.3104
2200,54.231
2300,55.1543
2400,55.1543
2500,58.6941
2600,60.1664
2700,60.9262
2800,62.0322
2900,62.0322
3000,62.6259
3100,62.9682
3200,65.192
3300,65.192
3400,65.7875
3500,68.542
3600,69.0797
3700,70.3847
3800,70.3847
3900,71.5891
4000,72.45
4100,73.4098
4200,73.4098
4300,74.7329
4400,75.6439
4500,75.6439
4600,77.0779
4700,78.3901
4800,78.3901
4900,79.712
5000,80.9938
