Sticking chance: 0.05
Number Particles (N), Cluster Radius(R)
10,4.24264
100,11.6619
200,18.0278
300,21.9317
400,24.1661
500,25.807
600,26.6833
700,33.3017
800,34.7131
900,36.8782
1000,40.2244
1100,42.19
1200,43.0465
1300,46.6476
1400,48.3735
1500,49.7393
1600,51.6236
1700,53
1800,55.5698
1900,55.9464
2000,58.6686
2100,60.9016
2200,60.9016
2300,61.2699
2400,63.5059
2500,64.0703
2600,66.8506
2700,69.6348
2800,69.6348
2900,72.9452
3000,74.3303
3100,75.8024
3200,77.6981
3300,80.455
3400,80.455
3500,80.7775
3600,81.6333
3700,82.4924
3800,85.7555
3900,86.6083
4000,86.954
4100,87.4643
4200,88.3233
4300,88.8369
4400,89.6939
4500,91.9239
4600,93.2952
4700,93.6483
4800,94.6678
4900,97.4166
5000,98.27
