Sticking chance: 0.05
Number Particles (N), Cluster Radius(R)
10,3.60555
100,10.2956
200,15
300,17.0294
400,21.9317
500,24.0832
600,24.3516
700,26.8328
800,29.5296
900,34
1000,34.4384
1100,36.6742
1200,38.4708
1300,41.1461
1400,43.0465
1500,44.2832
1600,45.6946
1700,46.3249
1800,48.7545
1900,49.7695
2000,52.3927
2100,55.0364
2200,55.9464
2300,56.8595
2400,57.3847
2500,58.1808
2600,58.8727
2700,61.327
2800,62.9365
2900,64.4748
3000,65.8027
3100,67.0522
3200,68.9638
3300,68.9638
3400,70.8802
3500,72.7324
3600,73.6817
3700,74.9466
3800,76.2168
3900,76.243
4000,78.4347
4100,78.4347
4200,80.0562
4300,80.3243
4400,81.2712
4500,83.4865
4600,83.4865
4700,84.4808
4800,85.703
4900,87.9204
5000,89.1964
