Sticking chance: 0.75
Number Particles (N), Cluster Radius(R)
10,2.23607
100,13.1529
200,20.0998
300,24.1868
400,29.0172
500,32.0624
600,34.2345
700,37.855
800,39.2938
900,42.7551
1000,44.7214
1100,48.0833
1200,51.5461
1300,54.5711
1400,58.0517
1500,61.0328
1600,65.4599
1700,68.0074
1800,68.9493
1900,70.2282
2000,71.1688
2100,73.3894
2200,74.3303
2300,75.5844
2400,77.2528
2500,78.924
2600,80.6226
2700,81.8413
2800,83.1865
2900,85.4225
3000,86.7698
3100,89.0674
3200,92.6984
3300,96.566
3400,98.0816
3500,99.0202
3600,100.648
3700,103.73
3800,104.355
3900,105.005
4000,107.005
4100,109.202
4200,111.683
4300,113.6
4400,115.521
4500,116.482
4600,116.914
4700,117.881
4800,118.68
4900,120.785
5000,122.723
