Sticking chance: 0.75
Number Particles (N), Cluster Radius(R)
10,3.16228
100,15.0333
200,21.1896
300,24.3516
400,29.1204
500,33.2415
600,35.4401
700,40.2616
800,42.2019
900,43.1741
1000,46.2709
1100,49.4975
1200,53.4603
1300,55.7315
1400,57.5587
1500,61.8142
1600,67.082
1700,70.4557
1800,71.4493
1900,71.4493
2000,73.437
2100,75.4255
2200,78.3135
2300,80.5047
2400,83.2947
2500,84.214
2600,86.1452
2700,88.3629
2800,90.2718
2900,93.2631
3000,96.3328
3100,96.3328
3200,96.421
3300,97.6217
3400,99.0202
3500,100.045
3600,102.005
3700,102.108
3800,103
3900,105.929
4000,105.929
4100,106.921
4200,111
4300,112.641
4400,112.641
4500,113.635
4600,114.63
4700,115.624
4800,116.726
4900,118.609
5000,118.609
