Sticking chance: 0.05
Number Particles (N), Cluster Radius(R)
10,2.23607
100,10.0499
200,16.0312
300,22.0907
400,25.7099
500,28.8617
600,31.7805
700,31.9531
800,34.176
900,36.8782
1000,38.6264
1100,41.4367
1200,43.3244
1300,44.643
1400,46.4866
1500,49.3356
1600,49.98
1700,51.264
1800,52.4976
1900,52.4976
2000,52.4976
2100,53.7122
2200,55.6597
2300,57.5674
2400,58.2409
2500,58.9406
2600,60.208
2700,62.9682
2800,65
2900,66.7308
3000,67.6018
3100,68.0955
3200,68.4763
3300,69.3542
3400,69.6419
3500,71.0211
3600,74.9466
3700,75.4718
3800,76.2758
3900,76.5506
4000,76.5506
4100,77.4209
4200,77.8974
4300,78.2368
4400,81.0247
4500,81.8413
4600,83.006
4700,83.006
4800,83.8153
4900,83.8153
5000,83.8153
