Sticking chance: 0.05
Number Particles (N), Cluster Radius(R)
10,2.23607
100,9.21954
200,15.8114
300,17.0294
400,19.6469
500,22.1359
600,25
700,26.0768
800,27.2029
900,30.0832
1000,31.9531
1100,34.5398
1200,35.7351
1300,37.6431
1400,38.6005
1500,40.2616
1600,42.0595
1700,43.9659
1800,43.9659
1900,48.0521
2000,48.2701
2100,48.2701
2200,48.7647
2300,50.6952
2400,52.6308
2500,53.6004
2600,55.5428
2700,57.4891
2800,59.2284
2900,60.6383
3000,61.6117
3100,61.8466
3200,63.7887
3300,64.7611
3400,65.9697
3500,66.9403
3600,67.4685
3700,67.4685
3800,67.4685
3900,67.6831
4000,68.469
4100,69.5845
4200,69.857
4300,71.5891
4400,71.8053
4500,72.5672
4600,72.5672
4700,72.5672
4800,73.6003
4900,74.6726
5000,75.1665
