Sticking chance: 1
Number Particles (N), Cluster Radius(R)
10,4.12311
100,15.5242
200,25.1794
300,31.3847
400,35.8469
500,40.3609
600,44.911
700,52.811
800,54.4243
900,58.0517
1000,61.0328
1100,64.56
1200,68.4471
1300,70.8378
1400,74.4648
1500,75.6902
1600,79.712
1700,80.0562
1800,83.2406
1900,86.122
2000,88.5494
2100,93.9415
2200,96.2549
2300,98.9798
2400,102.083
2500,103.465
2600,107.075
2700,108.467
2800,108.467
2900,111.503
3000,111.503
3100,116.181
3200,116.181
3300,119.67
3400,126.063
3500,128.973
3600,130.863
3700,132.246
3800,132.246
3900,133.69
4000,135.772
4100,137.535
4200,140.858
4300,142.843
4400,145.671
4500,147.828
4600,148.519
4700,149.913
4800,150.629
4900,152.161
5000,156.464
