Num,Rad,Err,lnN,lnR,lnErr
10,4.53175,0.254884962,2.302585093,1.511108178,-1.366942964
100,18.26566667,1.477448659,4.605170186,2.905023159,0.390316721
200,25.6411,0.317222892,5.298317367,3.244196533,-1.148150622
300,32.7094,0.739432663,5.703782475,3.487662498,-0.301872058
400,37.03076667,0.600926943,5.991464547,3.611749099,-0.509281911
500,42.53556667,1.093837438,6.214608098,3.750340589,0.089692099
600,46.5943,0.904639333,6.396929655,3.841478216,-0.100218941
700,51.7473,0.880513481,6.551080335,3.946372257,-0.127250041
800,54.96803333,0.302766738,6.684611728,4.006751804,-1.194792611
900,58.96263333,0.932566334,6.802394763,4.07690391,-0.069814994
1000,63.0054,1.412039082,6.907755279,4.143220437,0.345034817
1100,68.2083,1.865707438,7.003065459,4.222566258,0.623640304
1200,73.78523333,2.893617819,7.090076836,4.301158621,1.06250756
1300,77.80323333,4.162649078,7.170119543,4.35418299,1.426151669
1400,83.24143333,5.853680908,7.244227516,4.421745221,1.767070678
1500,86.20946667,5.941243137,7.313220387,4.456779994,1.781918394
1600,89.9853,6.324919574,7.377758908,4.499646324,1.844497319
1700,90.49766667,6.211612935,7.43838353,4.505324068,1.826420594
1800,93.15,5.776111886,7.495541944,4.534211097,1.753730772
1900,95.7609,5.485758493,7.549609165,4.56185446,1.702155369
2000,98.78313333,5.380253199,7.60090246,4.592926875,1.682735436
2100,103.0535,5.518817453,7.649692624,4.635248271,1.708163608
2200,106.5879667,6.721717447,7.696212639,4.668970622,1.905343694
2300,109.0182667,7.303538412,7.740664402,4.691515452,1.988358945
2400,113.0603333,6.930030527,7.783224016,4.7279216,1.935864218
2500,115.9196667,7.526311233,7.824046011,4.752897422,2.018405046
2600,119.9486667,8.396547948,7.863266724,4.787063873,2.127820663
2700,122.9353333,8.599892874,7.901007052,4.811658472,2.151749747
2800,124.629,9.511813409,7.937374696,4.825341324,2.252534543
2900,126.1753333,9.156902612,7.972466016,4.837672474,2.214507979
3000,127.38,9.397996294,8.006367568,4.847174745,2.240496506
3100,131.6626667,9.941111848,8.03915739,4.880243096,2.29667887
3200,132.5183333,10.47802942,8.070906089,4.886721001,2.349280628
3300,136.3616667,10.00443872,8.101677747,4.91531067,2.303028867
3400,140.2063333,8.615237225,8.131530711,4.943115147,2.153532406
3500,142.0573333,8.28703293,8.160518247,4.956230732,2.114691996
3600,145.6366667,9.660941299,8.188689124,4.981114936,2.268091086
3700,148.1596667,10.07469606,8.216088099,4.998290521,2.31002694
3800,148.713,10.41821736,8.242756346,5.002018274,2.343555943
3900,151.0696667,10.77735794,8.268731832,5.017741099,2.377447446
4000,154.0746667,10.69115181,8.29404964,5.037437333,2.369416466
4100,156.7343333,11.60514003,8.318742253,5.054552228,2.451448106
4200,159.509,11.02634937,8.342839804,5.072100347,2.400287805
4300,160.4893333,10.57265057,8.366370302,5.078227481,2.358270532
4400,162.482,10.38907264,8.38935982,5.090567226,2.340754546
4500,164.5663333,10.58981798,8.411832676,5.103313731,2.359892971
4600,166.7363333,10.95501695,8.433811582,5.116413722,2.393797521
4700,167.7586667,10.53640663,8.455317788,5.122526439,2.354836559
4800,168.8383333,10.32772968,8.476371197,5.12894165,2.33483248
4900,171.576,11.32232913,8.496990484,5.145026317,2.426776805
5000,173.2146667,10.19844541,8.517193191,5.154531673,2.322235298
