Sticking chance: 1
Number Particles (N), Cluster Radius(R)
10,5
100,18.6815
200,26.2488
300,33.9411
400,37.4433
500,43.8292
600,48.0104
700,52.4309
800,55.4707
900,60.8276
1000,65.7419
1100,70.7107
1200,78.3901
1300,85.235
1400,94.3398
1500,96.2549
1600,101.514
1700,101.548
1800,103.247
1900,105.119
2000,106.78
2100,113.004
2200,119.202
2300,123.227
2400,125.877
2500,129.468
2600,135.724
2700,138.224
2800,141.4
2900,143.003
3000,144.031
3100,150.207
3200,152.053
3300,154.263
3400,155.801
3500,157.41
3600,163.808
3700,166.82
3800,168.003
3900,170.801
4000,172.8
4100,177.629
4200,179.025
4300,179.402
4400,181.463
4500,184.174
4600,186.387
4700,186.387
4800,186.387
4900,191.377
5000,191.669
