,,,,,
N,R,Std err,lnN,lnR,lnErr
10,3.633488,0.210232817095714,2.30258509299405,1.2901930684683,0.0251111446135339
100,14.43585,0.18435820100494,4.60517018598809,2.66971469603662,0.00554255268904456
200,20.69737,0.549654000066304,5.29831736654804,3.03000663905929,0.0115256110331301
300,26.36013,1.11270592931027,5.7037824746562,3.27185264133686,0.0183198782904582
400,30.23703,0.920285007309028,5.99146454710798,3.40906733220228,0.0132090914078571
500,34.34096,1.02193469482589,6.21460809842219,3.53633881081533,0.0129151793530069
600,38.90445,1.08237674394516,6.39692965521615,3.66110863996858,0.0120744929403243
700,42.66885,1.2050526333595,6.5510803350434,3.75346914581727,0.0122570175403842
800,46.23007,1.13437081778109,6.68461172766793,3.83363045216728,0.0106492794606842
900,50.5675,1.3134944729402,6.80239476332431,3.92330907744511,0.0112731814160487
1000,54.08524,1.22407929955538,6.90775527898214,3.99056132053196,0.00982246572275609
