Sticking chance: 0.01
Number Particles (N), Cluster Radius(R)
10,3
100,10
200,13.6015
300,17.4642
400,18.6815
500,20.025
600,21.2132
700,22.2036
800,24.3311
900,27.4591
1000,27.4591
1100,29.8329
1200,32.7567
1300,34.9285
1400,36.8782
1500,37.3631
1600,40.7922
1700,41.7732
1800,42.9535
1900,42.9535
2000,42.9535
2100,44.7214
2200,45.7056
2300,48.8365
2400,49.0306
2500,50.01
2600,50.9902
2700,51.6236
2800,53.7587
2900,53.7587
3000,54.7449
3100,55.7315
3200,57.0701
3300,57.8705
3400,57.8705
3500,57.8705
3600,57.8705
3700,58.4209
3800,58.8558
3900,59.8415
4000,60.8276
4100,61.8142
4200,62.8013
4300,62.8013
4400,63.7887
4500,63.7887
4600,64.4981
4700,64.6297
4800,65.307
4900,65.307
5000,65.6201
