Number Particles (N), Cluster Radius(R)
10,3
100,11.6619
200,19.9249
300,24.3311
400,28.0179
500,33.3017
600,38.2884
700,41.2311
800,45.2217
900,48.8774
1000,51.6236
1100,60.0333
1200,62.2656
1300,67.1193
1400,69.3397
1500,69.8928
1600,73.4983
1700,74.8131
1800,76.6942
1900,78.5684
2000,82.0731
2100,84.8999
2200,86.977
2300,87.7838
2400,90.0278
2500,91.4385
2600,93.723
2700,94.2603
2800,96.5401
2900,101.045
3000,103.407
3100,104.202
3200,106.212
3300,109.403
3400,111.018
3500,113.004
3600,113.6
3700,114.403
3800,116.017
3900,117.004
4000,117.004
4100,119.281
4200,120.93
4300,122.004
4400,123.422
4500,125.096
4600,125.936
4700,127.863
4800,131.765
4900,133.454
5000,133.989
