Number Particles (N), Cluster Radius(R)
10,5.09902
100,18.0278
200,23.0868
300,25.9615
400,27.8927
500,33.5261
600,36.1248
700,37.2156
800,40.2616
900,45.607
1000,53.2353
1100,58.2151
1200,60.208
1300,61.131
1400,63.0079
1500,66.0076
1600,67.0298
1700,68.0294
1800,70.0928
1900,77.1298
2000,78.5875
2100,79.6994
2200,81.7863
2300,83.3607
2400,83.9524
2500,86.3134
2600,87.5957
2700,89.1852
2800,91.0824
2900,93.086
3000,94.7048
3100,97.3088
3200,99.925
3300,100.846
3400,101.637
3500,102.694
3600,103.619
3700,104
3800,106.042
3900,107.671
4000,108.559
4100,110.164
4200,111.162
4300,114.158
4400,116.155
4500,118.152
4600,118.152
4700,118.152
4800,119.206
4900,121.202
5000,121.202
