Sticking chance: 0.25
Number Particles (N), Cluster Radius(R)
10,3.60555
100,15.5242
200,20.8806
300,24.5967
400,29.5296
500,34.8855
600,39.6611
700,42.0119
800,45
900,47.0106
1000,50.8035
1100,51.8652
1200,57.4282
1300,58.6003
1400,60.2163
1500,61.0574
1600,65.6049
1700,67.2309
1800,68.1175
1900,69.9714
2000,70.8308
2100,73.8173
2200,74.6525
2300,77.026
2400,78.032
2500,79.7559
2600,82.8553
2700,84.5991
2800,84.7231
2900,88.8369
3000,90.5539
3100,92.7847
3200,93.8136
3300,95.0158
3400,95.1893
3500,96.566
3600,97.4166
3700,98.7927
3800,101.548
3900,104.623
4000,105.475
4100,107.703
4200,109.659
4300,110.535
4400,111.893
4500,116.469
4600,116.97
4700,117.478
4800,118.849
4900,120.739
5000,121.078
