Sticking chance: 0.25
Number Particles (N), Cluster Radius(R)
10,5
100,18.0278
200,22.3607
300,30.3645
400,37.1214
500,39.9625
600,42.72
700,46.5188
800,49.6588
900,54.5619
1000,58.1378
1100,63.5295
1200,67.5352
1300,69.3181
1400,71.5542
1500,73.5391
1600,75.1332
1700,78.3901
1800,79.7057
1900,80.1124
2000,81.4371
2100,83.2586
2200,86.5852
2300,87.3613
2400,90.2497
2500,90.5207
2600,92.72
2700,94.3663
2800,95.3415
2900,97.2934
3000,99.8248
3100,104.738
3200,105.906
3300,108.06
3400,111.198
3500,112.969
3600,112.969
3700,115.122
3800,115.741
3900,117.712
4000,119.683
4100,123.471
4200,125.603
4300,128.891
4400,130.05
4500,132.019
4600,137.612
4700,139.589
4800,141.566
4900,145.121
5000,146.513
