Sticking chance: 0.25
Number Particles (N), Cluster Radius(R)
10,3.60555
100,14.5602
200,20.2237
300,25.318
400,31.0161
500,34.2053
600,37.6962
700,41.3038
800,45.1885
900,50.6063
1000,55.7584
1100,59.3633
1200,59.3633
1300,62.2656
1400,64.5136
1500,68.0955
1600,68.884
1700,72.0069
1800,74.027
1900,78.1025
2000,78.1025
2100,79.511
2200,80.7775
2300,82.8794
2400,84.7585
2500,89.0955
2600,91.2195
2700,94.0479
2800,96.1769
2900,98.3514
3000,99.8248
3100,100.658
3200,102.069
3300,102.728
3400,102.728
3500,104.235
3600,106.042
3700,109.636
3800,112.446
3900,116.211
4000,116.211
4100,118.6
4200,119.017
4300,119.808
4400,123.406
4500,124.808
4600,126.4
4700,127.613
4800,129.63
4900,129.63
5000,131.826
