Num,Rad,Err,lnN,lnR,lnErr
10,3.487616667,0.501606951,2.302585093,1.249218599,-0.689938431
100,12.6817,1.042678082,4.605170186,2.540160009,0.041792482
200,18.41196667,0.408181219,5.298317367,2.913000816,-0.896044038
300,23.12756667,0.473546838,5.703782475,3.141025268,-0.747504453
400,26.47956667,0.287573876,5.991464547,3.276373366,-1.24627549
500,30.41783333,0.210294257,6.214608098,3.415029059,-1.559247506
600,33.9281,1.452037001,6.396929655,3.52424358,0.372967399
700,36.05346667,1.705086752,6.551080335,3.585003022,0.53361599
800,38.91396667,1.638387207,6.684611728,3.661353226,0.493712348
900,41.5203,1.426018097,6.802394763,3.726182464,0.354886013
1000,44.8705,1.348452517,6.907755279,3.803780563,0.298957651
1100,48.30043333,1.425796178,7.003065459,3.877440532,0.354730379
1200,49.8095,1.634561655,7.090076836,3.908205729,0.491374667
1300,51.2869,0.908992576,7.170119543,3.937435359,-0.095418352
1400,52.33216667,1.226766049,7.244227516,3.957611223,0.204381478
1500,54.38156667,1.074357398,7.313220387,3.996025248,0.071722713
1600,57.0812,1.426133003,7.377758908,4.044474816,0.354966588
1700,59.11556667,1.635331062,7.43838353,4.079494285,0.491845268
1800,61.23963333,1.831680446,7.495541944,4.114794583,0.605233822
1900,62.42013333,1.740931318,7.549609165,4.133887873,0.55442021
2000,64.9652,0.963367474,7.60090246,4.173851742,-0.037320347
2100,65.8286,0.893520746,7.649692624,4.187054394,-0.112585726
2200,68.05476667,0.328011302,7.696212639,4.220312773,-1.114707213
2300,70.35086667,0.209549368,7.740664402,4.253495103,-1.562795919
2400,71.8246,0.527251973,7.783224016,4.274227036,-0.640076717
2500,72.55316667,0.828326132,7.824046011,4.284319626,-0.188348323
2600,75.1537,0.978973141,7.863266724,4.31953535,-0.021251072
2700,76.60393333,0.499866667,7.901007052,4.338648424,-0.693413883
2800,77.90283333,0.757073581,7.937374696,4.355462324,-0.278294829
2900,79.17383333,0.646566187,7.972466016,4.371645857,-0.436079708
3000,80.67583333,1.019200226,8.006367568,4.390439067,0.019018228
3100,82.3031,0.657451359,8.03915739,4.410408774,-0.419384496
3200,83.34123333,0.348374915,8.070906089,4.422943425,-1.054476038
3300,84.82516667,0.716155175,8.101677747,4.440592275,-0.333858411
3400,87.135,0.496998132,8.131530711,4.46745864,-0.699169011
3500,89.1974,0.642791617,8.160518247,4.490851891,-0.441934686
3600,90.39813333,0.651174084,8.188689124,4.504223618,-0.428978262
3700,91.62043333,0.116261148,8.216088099,4.517654318,-2.151916346
3800,94.07976667,0.912130514,8.242756346,4.544143004,-0.091972192
3900,94.92273333,1.155996082,8.268731832,4.553063227,0.144962381
4000,96.40893333,0.393875286,8.29404964,4.568598867,-0.931720952
4100,98.64506667,0.637347541,8.318742253,4.591528223,-0.450440182
4200,100.5111667,1.752697358,8.342839804,4.610268832,0.561155949
4300,102.1923,1.689145698,8.366370302,4.626856332,0.524222897
4400,103.16,1.595205629,8.38935982,4.636281181,0.467002649
4500,103.8323333,1.939920302,8.411832676,4.642777419,0.662646891
4600,105.688,1.958,8.433811582,4.660491358,0.671923544
4700,107.653,2.143250413,8.455317788,4.678913092,0.762323561
4800,108.4823333,1.808632663,8.476371197,4.686587333,0.592571125
4900,110.2203333,2.252457201,8.496990484,4.702481393,0.81202171
5000,112.5076667,3.539114971,8.517193191,4.723021367,1.263876688
