Sticking chance: 0.1
Number Particles (N), Cluster Radius(R)
10,2.82843
100,14.4222
200,19.105
300,23.7697
400,26.5707
500,30.0832
600,36.7151
700,39.4462
800,42.19
900,44.2945
1000,47.0106
1100,50.6063
1200,52.0096
1300,52.8015
1400,54.4059
1500,56.0803
1600,58.6003
1700,61.4003
1800,62.2013
1900,63.4114
2000,65.6049
2100,65.6049
2200,68.2422
2300,70
2400,70.8025
2500,71.0634
2600,74.027
2700,75.6042
2800,76.4003
2900,77.9872
3000,78.6448
3100,81.4678
3200,83.5464
3300,83.5464
3400,87.1149
3500,89.3756
3600,89.3756
3700,91.4385
3800,95.7758
3900,96.4261
4000,96.4261
4100,99.8248
4200,103.966
4300,105.475
4400,106.151
4500,107.629
4600,109.604
4700,111.866
4800,111.866
4900,114.586
5000,119.52
