Sticking chance: 0.1
Number Particles (N), Cluster Radius(R)
10,3.16228
100,10.8167
200,17.6918
300,22.2036
400,25.9422
500,30.8058
600,31.8277
700,34.6554
800,37.2156
900,40.7063
1000,45.2217
1100,48.6004
1200,50.8035
1300,51.4004
1400,52.4309
1500,54.6717
1600,58.4123
1700,60
1800,63.8201
1900,64.8151
2000,66.2193
2100,67.4759
2200,68.5055
2300,70.7248
2400,72.111
2500,72.6705
2600,74.3303
2700,77.1038
2800,78.492
2900,79.3221
3000,81.5414
3100,81.8413
3200,82.662
3300,84.9058
3400,86.2844
3500,88.0057
3600,90.2109
3700,91.586
3800,92.6499
3900,92.6499
4000,95.7183
4100,97.6371
4200,98.27
4300,101.242
4400,102.626
4500,102.626
4600,103.73
4700,104.862
4800,105.683
4900,107.075
5000,108.167
