Sticking chance: 0.1
Number Particles (N), Cluster Radius(R)
10,4.47214
100,12.8062
200,18.4391
300,23.4094
400,26.9258
500,30.3645
600,33.2415
700,34.0588
800,37.3363
900,39.5601
1000,42.3792
1100,45.6946
1200,46.6154
1300,49.6588
1400,50.1597
1500,52.3927
1600,54.231
1700,55.9464
1800,57.6975
1900,59.0339
2000,63.0714
2100,64.405
2200,67.4166
2300,70.3278
2400,72.5603
2500,73.9256
2600,77.1038
2700,77.1038
2800,78.8162
2900,80.2122
3000,81.8413
3100,83.6002
3200,83.8153
3300,86.0233
3400,88.0057
3500,90.2109
3600,91.6079
3700,91.8368
3800,93.8136
3900,95.6922
4000,97.0824
4100,98.4733
4200,99.2975
4300,99.8599
4400,100.703
4500,101.242
4600,103.73
4700,106.231
4800,107.898
4900,109
5000,109.836
